course_id,course_name,credits,cycle,subject_type_id,evaluation_system_id,total_weekly_hours,weekly_theory_hours,weekly_practice_hours,weekly_practice_laboratory_hours,weekly_laboratory_hours,max_cycle,min_cycle,note,required_credits,position
TP213,Fisicoquimica Y Operaciones Unitarias,4,5,1,6,6,3,,3,,,,"",,
GP113,Diseno Del Trabajo Ii,4,6,1,6,5,3,,2,,,,"",,
GP133,Desarrollo Organizacional,3,6,1,7,4,2,,2,,,,"",,
GP233,Contabilidad De Costos Y Presup.,3,6,1,6,4,2,,2,,,,"",,
ST123,Investigacion De Operaciones Ii,3,6,1,6,4,2,,2,,,,"",,
TP223,Procesos Industriales I,3,6,1,7,5,2,,3,,,,"",,
TP303,Ingenieria De Materiales,3,6,1,6,4,2,,2,,,,"",,
TP503,Control Estadistico De Procesos,3,6,1,7,4,2,,2,,,,"",,
GP122,Creatividad Empresarial,1,7,1,5,2,,,2,,,,"",,
GP234,Analisis Economico En Ingenieria,3,7,1,6,4,2,,2,,,,"",,
GP304,Logistica Empresarial,3,7,1,7,4,2,,2,,,,"",,
TP224,Procesos Industriales Ii,3,7,1,7,4,2,,2,,,,"",,
TP244,Analisis De Manufactura,3,7,1,6,4,2,,2,,,,"",,
TP304,Diseno En Ingenieria,3,7,1,4,4,2,,2,,,,"",,
TP404,Higiene Y Seguridad Industrial,3,7,1,6,4,2,,2,,,,"",,
GP314,Mercadotecnia,3,8,1,6,4,2,,2,,,,"",,
GP404,Planeamiento Y Control De La Produc.,3,8,1,7,4,2,,2,,,,"",,
HS204,Legislacion Empresarial,2,8,1,2,2,2,,,,,,"",,
TP254,Automatizacion Y Control De Procesos,3,8,1,5,4,2,,2,,,,"",,
TP314,Ingenieria Del Producto,4,8,1,5,6,2,,4,,,,"",,
GP154,Administracion De Recursos Humanos,3,9,1,6,4,2,,2,,,,"",,
GP235,Gestion Financiera,3,9,1,7,4,2,,2,,,,"",,
GP515,Planeamiento Y Direccion Estrategica,3,9,1,6,4,2,,2,,,,"",,
GP535,Proyecto De Tesis En Ing. Industrial I,2,9,1,5,4,,,4,,,,"",,
GP555,Gestion De Negocios I,3,9,1,6,4,2,,2,,,,"",,
TP505,Gestion Y Aseguramiento De Calidad Total,3,9,1,7,4,2,,2,,,,"",,
GP525,Diseno Y Evaluacion De Proyectos,4,10,1,7,5,3,,2,,,,"",,
GP545,Proyecto De Tesis En Ing. Industrial Ii,2,10,1,5,4,,,4,,,,"",,
GP575,Diagnostico Empresarial,3,10,1,7,4,2,,2,,,,"",,
GP114,Diseno Y Disposicion De Planta,3,,2,4,4,2,,2,,,,"",,
GP134,Modelos De Gestion Empresarial,3,,2,6,4,2,,2,,,,"",,
GP155,Gerencia de Recursos Humanos,3,,2,6,4,2,,2,,,,"",,
GP205,Gestion De Mantenimiento,3,,2,4,4,2,,2,,,,"",,
GP244,Sistemas De Costos,2,,2,6,3,1,,2,,,,"",,
GP245,Financiamiento Corporativo,3,,2,7,4,2,,2,,,,"",,
GP255,Economia de la Tecnologia,2,,2,7,2,2,,,,,,"",,
GP324,Gestion Logistica Y De Operaciones,3,,2,7,4,2,,2,,,,"",,
GP334,Bolsa de Valores y Mercado Bursátil,2,,2,7,3,1,,2,,,,"",,
GP514,Comercio Internacional,3,,2,3,4,2,,2,,,,"",,
GP565,Gestión de Negocios II,3,,2,7,4,2,,2,,,,"",,
GP585,Topicos De Ingenieria Industrial,2,,2,5,2,2,,,,,,"",,
HS102,Ideologias Contemporaneas,4,,2,7,5,3,,2,,,,"",,
HS144,Comportamiento Organizacional,2,,2,7,3,1,,2,,,,"",,
HS151,Literatura,2,,2,5,3,1,,2,,,,"",,
HS161,Protocolo,1,,2,5,2,,,2,,,,"",,
HS301,Idiomas I,2,,2,5,4,4,,,,,,"",,
HS302,Idiomas Ii,2,,2,5,4,4,,,,,,"",,
HS303,Idiomas Iii,2,,2,5,4,4,,,,,,"",,
HS402,Deporte,1,,2,5,2,2,,,,,,"",,
HS404,Realidad Nacional e Internacional,2,,2,7,4,,,4,,,,"",,
ST114,Teoria De Decisiones,3,,2,7,4,2,,2,,,,"",,
ST124,Simulacion,3,,2,7,4,2,,2,,,,"",,
ST231,Taller De Herramientas Software I,1,,2,5,2,2,,,,,,"",,
ST264,Administración de Tecnologías de la Información,3,,2,7,4,2,,2,,,,"",,
ST274,Base De Datos,3,,2,7,4,2,,2,,,,"",,
ST275,Auditoria De Sistemas,3,,2,7,4,2,,2,,,,"",,
ST295,Ingenieria Empresarial,3,,2,7,4,2,,2,,,,"",,
ST339,Comercio Electronico,3,,2,6,4,2,,2,,,,"",,
TP261,IntroducciOn a la Robatica,3,,2,4,4,2,,2,,,,"",,
TP313,Diseño Grafico,3,,2,7,4,2,,2,,,,"",,
TP324,Ergonomia,3,,2,7,4,2,,2,,,,"",,
TP414,Introduccion A La Ingenieria Ambiental,2,,2,5,2,2,,,,,,"",,
XP200,Practicas Pre-Profesionales Ii,2,,2,5,,,,,,,,"",,
